,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
1848,Italy,2692.0,4248.0,5984.0,24637.0,22033.0,30125.0,44028.0,United Kingdom,133747.0
1849,Jamaica,35456.0,23342.0,11697.0,41350.0,21299.0,30606.0,43510.0,United Kingdom,207260.0
1850,Japan,3751.0,4620.0,5653.0,3508.0,16171.0,22543.0,32591.0,United Kingdom,88837.0
1853,Kenya,12549.0,17037.0,22025.0,27010.0,36065.0,48356.0,71458.0,United Kingdom,234500.0
1870,Malaysia,7467.0,11158.0,15329.0,5553.0,21447.0,29819.0,43174.0,United Kingdom,133947.0
1888,Netherlands,5312.0,5537.0,5944.0,4633.0,14383.0,19659.0,28738.0,United Kingdom,84206.0
1889,New Zealand,3655.0,7000.0,10625.0,5871.0,25222.0,34692.0,50533.0,United Kingdom,137598.0
1892,Nigeria,3482.0,8096.0,12955.0,7941.0,40121.0,54033.0,79647.0,United Kingdom,206275.0
1896,Pakistan,9010.0,11464.0,14070.0,68076.0,47374.0,62540.0,93239.0,United Kingdom,305773.0
1902,Philippines,1565.0,2126.0,2826.0,5591.0,17113.0,25038.0,35245.0,United Kingdom,89504.0
1903,Poland,21919.0,14823.0,8330.0,12167.0,12253.0,17542.0,24989.0,United Kingdom,112023.0
1920,Singapore,1554.0,4212.0,7068.0,6351.0,12949.0,17747.0,25903.0,United Kingdom,75784.0
1925,South Africa,6802.0,11342.0,16300.0,10090.0,46207.0,63244.0,92377.0,United Kingdom,246362.0
1926,Spain,1063.0,2246.0,3564.0,8392.0,17277.0,24354.0,34993.0,United Kingdom,91889.0
1927,Sri Lanka,3904.0,7485.0,11201.0,8810.0,19487.0,25959.0,38502.0,United Kingdom,115348.0
1946,Uganda,5346.0,7207.0,9323.0,11431.0,16956.0,22786.0,33629.0,United Kingdom,106678.0
1950,United States,25597.0,30118.0,35925.0,13362.0,65598.0,90610.0,131672.0,United Kingdom,392882.0
1958,Zimbabwe,782.0,3131.0,5649.0,4438.0,15058.0,20761.0,30201.0,United Kingdom,80020.0
1961,Albania,295.0,549.0,276.0,10626.0,20990.0,42451.0,51096.0,Greece,126283.0
2024,Georgia,361.0,1226.0,951.0,4526.0,14617.0,22856.0,27644.0,Greece,72181.0
2025,Germany,2750.0,5641.0,3055.0,2175.0,18240.0,37551.0,45627.0,Greece,115039.0
2139,Turkey,6806.0,10775.0,3964.0,15243.0,6590.0,13306.0,16001.0,Greece,72685.0
2341,United Kingdom,13966.0,22783.0,24446.0,39019.0,60121.0,73075.0,123827.0,Ireland,357237.0
2613,Germany,3472.0,6994.0,13791.0,18788.0,29630.0,23735.0,25401.0,Netherlands,121811.0
2627,Indonesia,5801.0,11442.0,22108.0,30037.0,39379.0,36051.0,35461.0,Netherlands,180279.0
2666,Morocco,3191.0,6108.0,11451.0,15492.0,5931.0,33910.0,39304.0,Netherlands,115387.0
2713,Suriname,4689.0,9229.0,17794.0,24169.0,27116.0,40714.0,44568.0,Netherlands,168279.0
2727,Turkey,4151.0,7996.0,15088.0,20430.0,6481.0,40675.0,46395.0,Netherlands,141216.0
2948,Australia,7293.0,11484.0,13218.0,11034.0,12117.0,18033.0,17160.0,New Zealand,90339.0
3125,United Kingdom,53226.0,84447.0,94833.0,70557.0,70626.0,104757.0,98833.0,New Zealand,577279.0
3140,Angola,6381.0,13140.0,13027.0,20425.0,32428.0,44205.0,53198.0,Portugal,182804.0
3255,Mozambique,3777.0,8049.0,8386.0,12687.0,19408.0,26413.0,31758.0,Portugal,110478.0
3353,Bosnia and Herzegovina,3379.0,4396.0,3026.0,12938.0,15439.0,18986.0,23315.0,Sweden,81479.0
3392,Finland,23369.0,28392.0,25068.0,28143.0,31346.0,33421.0,35283.0,Sweden,205022.0
3412,Iran,238.0,810.0,5725.0,10604.0,14063.0,18028.0,25920.0,Sweden,75388.0
3471,Poland,1992.0,3386.0,7995.0,9851.0,11263.0,14471.0,21574.0,Sweden,70532.0
3499,Sweden,279742.0,368588.0,0.0,0.0,0.0,0.0,0.0,Sweden,648330.0
3528,Afghanistan,1392.0,4538.0,8185.0,9951.0,13719.0,22212.0,24998.0,United States,84995.0
3534,Argentina,20464.0,33342.0,41213.0,42143.0,47896.0,79436.0,81937.0,United States,346431.0
