,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
46,Laos,656.0,800.2,944.4,1088.6,1232.8,1377.0,1539.8,1702.6,1865.4,2028.2,2191.0,2323.4,2455.8,2588.2,2720.6,2853.0,2890.4,2927.8,2965.2,3002.6,3040.0,3093.2,3146.4,3199.6,3252.8,3306.0,3348.8,3391.6,3434.4,3477.2,3520.0,Australia,16943.0
47,Latvia,5759.0,5670.6,5582.2,5493.8,5405.4,5317.0,4775.4,4233.8,3692.2,3150.6,2609.0,2824.2,3039.4,3254.6,3469.8,3685.0,3483.0,3281.0,3079.0,2877.0,2675.0,2748.2,2821.4,2894.6,2967.8,3041.0,3110.8,3180.6,3250.4,3320.2,3390.0,Australia,26476.0
48,Lebanon,11137.0,11728.2,12319.4,12910.6,13501.8,14093.0,14855.6,15618.2,16380.8,17143.4,17906.0,18871.8,19837.6,20803.4,21769.2,22735.0,22671.8,22608.6,22545.4,22482.2,22419.0,22562.2,22705.4,22848.6,22991.8,23135.0,23144.8,23154.6,23164.4,23174.2,23184.0,Australia,134609.0
49,Lithuania,2740.0,2682.0,2624.0,2566.0,2508.0,2450.0,2246.0,2042.0,1838.0,1634.0,1430.0,1499.4,1568.8,1638.2,1707.6,1777.0,1707.6,1638.2,1568.8,1499.4,1430.0,1449.6,1469.2,1488.8,1508.4,1528.0,1541.8,1555.6,1569.4,1583.2,1597.0,Australia,12952.0
50,Macedonia,15469.0,15586.4,15703.8,15821.2,15938.6,16056.0,15124.2,14192.4,13260.6,12328.8,11397.0,13205.2,15013.4,16821.6,18629.8,20438.0,19177.2,17916.4,16655.6,15394.8,14134.0,14223.6,14313.2,14402.8,14492.4,14582.0,14587.0,14592.0,14597.0,14602.0,14607.0,Australia,106683.0
51,Malaysia,6424.0,7256.0,8088.0,8920.0,9752.0,10584.0,12462.6,14341.2,16219.8,18098.4,19977.0,20494.8,21012.6,21530.4,22048.2,22566.0,22553.0,22540.0,22527.0,22514.0,22501.0,23558.2,24615.4,25672.6,26729.8,27787.0,28914.2,30041.4,31168.6,32295.8,33423.0,Australia,143262.0
52,Malta,18783.0,18783.6,18784.2,18784.8,18785.4,18786.0,18212.0,17638.0,17064.0,16490.0,15916.0,16424.0,16932.0,17440.0,17948.0,18456.0,18145.4,17834.8,17524.2,17213.6,16903.0,16700.0,16497.0,16294.0,16091.0,15888.0,15514.6,15141.2,14767.8,14394.4,14021.0,Australia,118753.0
53,Mauritius,2392.0,2598.2,2804.4,3010.6,3216.8,3423.0,3705.0,3987.0,4269.0,4551.0,4833.0,4963.8,5094.6,5225.4,5356.2,5487.0,5243.4,4999.8,4756.2,4512.6,4269.0,4404.4,4539.8,4675.2,4810.6,4946.0,5080.0,5214.0,5348.0,5482.0,5616.0,Australia,30966.0
54,Mexico,106.0,120.0,134.0,148.0,162.0,176.0,186.8,197.6,208.4,219.2,230.0,238.8,247.6,256.4,265.2,274.0,301.2,328.4,355.6,382.8,410.0,430.0,450.0,470.0,490.0,510.0,531.2,552.4,573.6,594.8,616.0,Australia,2322.0
55,Myanmar,1734.0,1804.6,1875.2,1945.8,2016.4,2087.0,2158.2,2229.4,2300.6,2371.8,2443.0,2614.8,2786.6,2958.4,3130.2,3302.0,3352.2,3402.4,3452.6,3502.8,3553.0,3684.4,3815.8,3947.2,4078.6,4210.0,4344.2,4478.4,4612.6,4746.8,4881.0,Australia,22210.0
