,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
39,Japan,2378.0,2569.0,2760.0,2951.0,3142.0,3333.0,4063.0,4793.0,5523.0,6253.0,6983.0,7089.8,7196.6,7303.4,7410.2,7517.0,8175.0,8833.0,9491.0,10149.0,10807.0,11412.6,12018.2,12623.8,13229.4,13835.0,14497.4,15159.8,15822.2,16484.6,17147.0,Australia,62000.0
40,Jordan,205.0,215.8,226.6,237.4,248.2,259.0,325.2,391.4,457.6,523.8,590.0,615.8,641.6,667.4,693.2,719.0,746.8,774.6,802.4,830.2,858.0,898.8,939.6,980.4,1021.2,1062.0,1107.2,1152.4,1197.6,1242.8,1288.0,Australia,4981.0
41,Kenya,747.0,836.0,925.0,1014.0,1103.0,1192.0,1272.6,1353.2,1433.8,1514.4,1595.0,1636.6,1678.2,1719.8,1761.4,1803.0,1897.6,1992.2,2086.8,2181.4,2276.0,2386.2,2496.4,2606.6,2716.8,2827.0,2947.4,3067.8,3188.2,3308.6,3429.0,Australia,13869.0
42,Korea,887.0,1097.4,1307.8,1518.2,1728.6,1939.0,2558.6,3178.2,3797.8,4417.4,5037.0,5465.8,5894.6,6323.4,6752.2,7181.0,7991.4,8801.8,9612.2,10422.6,11233.0,11861.2,12489.4,13117.6,13745.8,14374.0,15061.0,15748.0,16435.0,17122.0,17809.0,Australia,58460.0
43,Kuwait,45.0,47.4,49.8,52.2,54.6,57.0,71.4,85.8,100.2,114.6,129.0,157.6,186.2,214.8,243.4,272.0,309.6,347.2,384.8,422.4,460.0,483.0,506.0,529.0,552.0,575.0,599.8,624.6,649.4,674.2,699.0,Australia,2237.0
44,Laos,509.0,588.4,667.8,747.2,826.6,906.0,1044.4,1182.8,1321.2,1459.6,1598.0,1651.0,1704.0,1757.0,1810.0,1863.0,1949.2,2035.4,2121.6,2207.8,2294.0,2395.2,2496.4,2597.6,2698.8,2800.0,2911.0,3022.0,3133.0,3244.0,3355.0,Australia,13325.0
45,Latvia,5936.0,5810.8,5685.6,5560.4,5435.2,5310.0,4712.8,4115.6,3518.3999999999996,2921.2,2324.0,2517.2,2710.4,2903.6,3096.8,3290.0,3103.6,2917.2,2730.8,2544.4,2358.0,2465.6,2573.2,2680.8,2788.4,2896.0,3014.0,3132.0,3250.0,3368.0,3486.0,Australia,25600.0
46,Lebanon,6581.0,7043.2,7505.4,7967.6,8429.8,8892.0,9905.8,10919.6,11933.4,12947.2,13961.0,14046.2,14131.4,14216.6,14301.8,14387.0,14916.8,15446.6,15976.4,16506.2,17036.0,17660.4,18284.8,18909.2,19533.6,20158.0,20844.0,21530.0,22216.0,22902.0,23588.0,Australia,104603.0
47,Lithuania,2089.0,2060.0,2031.0,2002.0,1973.0,1944.0,1810.0,1676.0,1542.0,1408.0,1274.0,1270.8,1267.6,1264.4,1261.2,1258.0,1206.4,1154.8,1103.2,1051.6,1000.0,1043.6,1087.2,1130.8,1174.4,1218.0,1266.0,1314.0,1362.0,1410.0,1458.0,Australia,10241.0
48,Macedonia,7386.0,7660.4,7934.8,8209.2,8483.6,8758.0,8972.6,9187.2,9401.8,9616.4,9831.0,10340.2,10849.4,11358.6,11867.8,12377.0,11892.6,11408.2,10923.8,10439.4,9955.0,10335.6,10716.2,11096.8,11477.4,11858.0,12275.6,12693.2,13110.8,13528.4,13946.0,Australia,74111.0
49,Malaysia,6455.0,7245.0,8035.0,8825.0,9615.0,10405.0,12353.6,14302.2,16250.8,18199.4,20148.0,20517.4,20886.8,21256.2,21625.6,21995.0,22310.2,22625.4,22940.6,23255.8,23571.0,24756.6,25942.2,27127.8,28313.4,29499.0,30797.0,32095.0,33393.0,34691.0,35989.0,Australia,148062.0
50,Malta,8279.0,8514.2,8749.4,8984.6,9219.8,9455.0,10012.8,10570.6,11128.4,11686.2,12244.0,11511.6,10779.2,10046.8,9314.4,8582.0,8576.8,8571.6,8566.4,8561.2,8556.0,8802.8,9049.6,9296.4,9543.2,9790.0,10061.6,10333.2,10604.8,10876.4,11148.0,Australia,68054.0
51,Mauritius,2422.0,2629.2,2836.4,3043.6,3250.8,3458.0,3815.2,4172.4,4529.6,4886.8,5244.0,5234.4,5224.8,5215.2,5205.6,5196.0,5265.8,5335.6,5405.4,5475.2,5545.0,5755.0,5965.0,6175.0,6385.0,6595.0,6825.4,7055.8,7286.2,7516.6,7747.0,Australia,36207.0
52,Mexico,119.0,128.8,138.6,148.4,158.2,168.0,180.2,192.4,204.6,216.8,229.0,233.4,237.8,242.2,246.6,251.0,279.8,308.6,337.4,366.2,395.0,416.4,437.8,459.2,480.6,502.0,525.2,548.4,571.6,594.8,618.0,Australia,2282.0
53,Myanmar,1973.0,2049.4,2125.8,2202.2,2278.6,2355.0,2471.4,2587.8,2704.2,2820.6,2937.0,3018.4,3099.8,3181.2,3262.6,3344.0,3428.8,3513.6,3598.4,3683.2,3768.0,3938.4,4108.8,4279.2,4449.6,4620.0,4806.4,4992.8,5179.2,5365.6,5552.0,Australia,24549.0
54,Netherlands,26848.0,27013.4,27178.8,27344.2,27509.6,27675.0,28005.0,28335.0,28665.0,28995.0,29325.0,28542.0,27759.0,26976.0,26193.0,25410.0,25351.8,25293.6,25235.4,25177.2,25119.0,26057.0,26995.0,27933.0,28871.0,29809.0,30839.0,31869.0,32899.0,33929.0,34959.0,Australia,199145.0
55,New Zealand,33139.0,35949.4,38759.8,41570.2,44380.6,47191.0,54486.4,61781.8,69077.2,76372.6,83668.0,82839.4,82010.8,81182.2,80353.6,79525.0,87319.6,95114.2,102908.8,110703.4,118498.0,122933.6,127369.2,131804.8,136240.4,140676.0,145547.0,150418.0,155289.0,160160.0,165031.0,Australia,667728.0
56,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,49.8,99.6,149.39999999999998,199.2,249.0,262.4,275.8,289.2,302.6,316.0,343.4,370.8,398.2,425.6,453.0,475.2,497.4,519.6,541.8,564.0,588.4,612.8,637.2,661.6,686.0,Australia,2268.0
57,Norway,812.0,806.2,800.4,794.6,788.8,783.0,820.6,858.2,895.8,933.4,971.0,930.0,889.0,848.0,807.0,766.0,819.0,872.0,925.0,978.0,1031.0,1078.4,1125.8,1173.2,1220.6,1268.0,1319.6,1371.2,1422.8,1474.4,1526.0,Australia,7157.0
58,Occupied Palestinian Territory,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.2,13.799999999999999,18.4,23.0,154.6,286.2,417.79999999999995,549.4,681.0,677.8,674.6,671.4,668.2,665.0,693.8,722.6,751.4,780.2,809.0,840.4,871.8,903.2,934.6,966.0,Australia,3144.0
59,Pakistan,569.0,630.8,692.6,754.4,816.2,878.0,1017.0,1156.0,1295.0,1434.0,1573.0,1634.8,1696.6,1758.4,1820.2,1882.0,2069.6,2257.2,2444.8,2632.4,2820.0,2959.4,3098.8,3238.2,3377.6,3517.0,3669.4,3821.8,3974.2,4126.6,4279.0,Australia,15518.0
60,Papua New Guinea,1762.0,1969.6,2177.2,2384.8,2592.4,2800.0,3128.8,3457.6,3786.4,4115.2,4444.0,4755.6,5067.2,5378.8,5690.4,6002.0,6339.0,6676.0,7013.0,7350.0,7687.0,8032.0,8377.0,8722.0,9067.0,9412.0,9790.0,10168.0,10546.0,10924.0,11302.0,Australia,43409.0
61,Peru,640.0,671.4,702.8,734.2,765.6,797.0,904.4,1011.8,1119.2,1226.6,1334.0,1400.4,1466.8,1533.2,1599.6,1666.0,1779.6,1893.2,2006.8,2120.4,2234.0,2353.0,2472.0,2591.0,2710.0,2829.0,2959.0,3089.0,3219.0,3349.0,3479.0,Australia,12979.0
