,Country Name,variable,value
807,Mexico,1990,2.01177883
808,Nepal,1990,0.55427396
809,Netherlands,1990,5.320714
810,New Zealand,1990,5.56446981
811,Niger,1990,1.53187096
812,Norway,1990,6.29948092
813,Oman,1990,2.50450325
814,Pakistan,1990,1.01343811
815,Panama,1990,4.6724925
816,Peru,1990,2.31222916
817,Poland,1990,3.61403513
818,Portugal,1990,5.90206194
819,Saudi Arabia,1990,3.03455424
820,Senegal,1990,1.26322365
821,Slovak Republic,1990,4.68998718
822,Slovenia,1990,5.57140017
823,South Africa,1990,2.73613644
824,Spain,1990,4.91906023
825,Sri Lanka,1990,2.27740288
826,St. Lucia,1990,1.8697567
827,Eswatini,1990,2.41081047
828,Sweden,1990,6.18943739
829,Switzerland,1990,2.67802835
830,Thailand,1990,1.71152949
831,Togo,1990,0.39248648
832,Tunisia,1990,2.65892363
833,United Kingdom,1990,5.59644794
834,Uruguay,1990,4.15722036
835,Zambia,1990,3.18158054
836,Argentina,1991,4.63411379
