,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to
45,Jamaica,,,,,,0.0,71.0,142.0,213.0,284.0,355.0,295.6,236.2,176.8,117.4,58.0,53.6,49.2,44.8,40.4,36.0,46.4,56.8,67.2,77.6,88.0,90.2,92.4,94.6,96.8,99.0,Australia
46,Japan,,,,,,1677.0,2568.8,3460.6,4352.4,5244.2,6136.0,4908.8,3681.6,2454.3999999999996,1227.1999999999998,0.0,871.0,1742.0,2613.0,3484.0,4355.0,4195.8,4036.6,3877.4,3718.2,3559.0,3633.0,3707.0,3781.0,3855.0,3929.0,Australia
47,Jordan,,,,,,109.0,192.6,276.2,359.79999999999995,443.4,527.0,496.2,465.4,434.6,403.8,373.0,352.2,331.4,310.6,289.8,269.0,272.8,276.6,280.4,284.2,288.0,295.0,302.0,309.0,316.0,323.0,Australia
48,Kenya,,,,,,811.0,759.6,708.2,656.8,605.4,554.0,560.0,566.0,572.0,578.0,584.0,591.6,599.2,606.8,614.4,622.0,642.2,662.4,682.6,702.8,723.0,739.2,755.4,771.6,787.8,804.0,Australia
49,Korea,,,,,,2029.0,2863.0,3697.0,4531.0,5365.0,6199.0,5697.4,5195.8,4694.2,4192.6,3691.0,4299.4,4907.8,5516.2,6124.6,6733.0,6204.4,5675.8,5147.2,4618.6,4090.0,4179.0,4268.0,4357.0,4446.0,4535.0,Australia
50,Kuwait,,,,,,21.0,38.2,55.4,72.6,89.8,107.0,152.8,198.6,244.39999999999998,290.2,336.0,340.6,345.2,349.8,354.4,359.0,319.4,279.8,240.2,200.6,161.0,164.4,167.8,171.2,174.6,178.0,Australia
51,Laos,,,,,,828.0,884.4,940.8,997.2,1053.6,1110.0,999.8,889.6,779.4,669.2,559.0,447.2,335.4,223.60000000000002,111.80000000000001,0.0,128.8,257.6,386.40000000000003,515.2,644.0,658.4,672.8,687.2,701.6,716.0,Australia
52,Latvia,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,365.4,730.8,1096.1999999999998,1461.6,1827.0,1461.6,1096.2,730.8000000000002,365.4000000000001,0.0,126.4,252.8,379.20000000000005,505.6,632.0,645.6,659.2,672.8,686.4,700.0,Australia
53,Lebanon,,,,,,3089.0,3766.2,4443.4,5120.6,5797.8,6475.0,5762.2,5049.4,4336.6,3623.8,2911.0,2328.8,1746.6,1164.3999999999999,582.1999999999998,0.0,711.2,1422.4,2133.6000000000004,2844.8,3556.0,3637.0,3718.0,3799.0,3880.0,3961.0,Australia
54,Libya,,,,,,0.0,72.8,145.6,218.39999999999998,291.2,364.0,301.8,239.6,177.39999999999998,115.19999999999999,53.0,48.6,44.2,39.8,35.4,31.0,40.4,49.8,59.2,68.6,78.0,79.6,81.2,82.8,84.4,86.0,Australia
55,Lithuania,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,66.0,99.0,132.0,165.0,132.0,99.0,66.0,33.0,0.0,52.0,104.0,156.0,208.0,260.0,266.0,272.0,278.0,284.0,290.0,Australia
56,Macedonia,,,,,,1812.0,1449.6,1087.2,724.8000000000002,362.4000000000001,0.0,1400.0,2800.0,4200.0,5600.0,7000.0,5600.0,4200.0,2800.0,1400.0,0.0,453.8,907.6,1361.4,1815.2,2269.0,2321.0,2373.0,2425.0,2477.0,2529.0,Australia
57,Malaysia,,,,,,6804.0,8710.4,10616.8,12523.2,14429.6,16336.0,13728.4,11120.8,8513.2,5905.6,3298.0,2638.4,1978.8,1319.1999999999998,659.5999999999999,0.0,1510.2,3020.4,4530.6,6040.8,7551.0,7717.4,7883.8,8050.2,8216.6,8383.0,Australia
58,Malta,,,,,,1180.0,1025.0,870.0,715.0,560.0,405.0,333.6,262.2,190.79999999999998,119.39999999999998,48.0,38.4,28.8,19.200000000000003,9.600000000000001,0.0,230.4,460.8,691.2,921.6,1152.0,1178.6,1205.2,1231.8,1258.4,1285.0,Australia
59,Mauritius,,,,,,1519.0,1760.4,2001.8,2243.2,2484.6,2726.0,2234.4,1742.8,1251.1999999999998,759.5999999999999,268.0,214.4,160.8,107.19999999999999,53.599999999999994,0.0,232.6,465.2,697.8,930.4,1163.0,1189.0,1215.0,1241.0,1267.0,1293.0,Australia
60,Mexico,,,,,,92.0,92.8,93.6,94.4,95.2,96.0,87.4,78.8,70.2,61.6,53.0,96.8,140.6,184.39999999999998,228.2,272.0,245.2,218.4,191.6,164.8,138.0,140.6,143.2,145.8,148.4,151.0,Australia
61,Morocco,,,,,,0.0,98.8,197.6,296.4,395.2,494.0,413.4,332.8,252.20000000000002,171.60000000000002,91.0,80.6,70.2,59.8,49.4,39.0,51.8,64.6,77.4,90.2,103.0,105.8,108.6,111.4,114.2,117.0,Australia
62,Myanmar,,,,,,470.0,506.0,542.0,578.0,614.0,650.0,738.4,826.8,915.2,1003.6,1092.0,887.6,683.2,478.79999999999995,274.4,70.0,265.6,461.2,656.8,852.4,1048.0,1071.2,1094.4,1117.6,1140.8,1164.0,Australia
