,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
44,Italy,26005.0,27050.4,28095.8,29141.2,30186.6,31232.0,32115.8,32999.6,33883.4,34767.2,35651.0,35617.0,35583.0,35549.0,35515.0,35481.0,34065.0,32649.0,31233.0,29817.0,28401.0,29376.0,30351.0,31326.0,32301.0,33276.0,34366.0,35456.0,36546.0,37636.0,38726.0,Australia,228772.0
45,Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,71.0,142.0,213.0,284.0,355.0,366.6,378.2,389.8,401.4,413.0,420.2,427.4,434.6,441.8,449.0,466.6,484.2,501.8,519.4,537.0,556.8,576.6,596.4,616.2,636.0,Australia,2390.0
46,Japan,3969.0,4304.4,4639.8,4975.2,5310.6,5646.0,6873.2,8100.4,9327.6,10554.8,11782.0,11745.4,11708.8,11672.2,11635.6,11599.0,12470.0,13341.0,14212.0,15083.0,15954.0,16665.8,17377.6,18089.4,18801.2,19513.0,20298.8,21084.6,21870.4,22656.2,23442.0,Australia,91905.0
47,Jordan,356.0,377.8,399.6,421.4,443.2,465.0,570.4,675.8,781.2,886.6,992.0,1066.6,1141.2,1215.8,1290.4,1365.0,1418.8,1472.6,1526.4,1580.2,1634.0,1691.6,1749.2,1806.8,1864.4,1922.0,1986.6,2051.2,2115.8,2180.4,2245.0,Australia,8979.0
48,Kenya,1293.0,1455.2,1617.4,1779.6,1941.8,2104.0,2214.8,2325.6,2436.4,2547.2,2658.0,2774.8,2891.6,3008.4,3125.2,3242.0,3366.4,3490.8,3615.2,3739.6,3864.0,4008.6,4153.2,4297.8,4442.4,4587.0,4747.8,4908.6,5069.4,5230.2,5391.0,Australia,23139.0
49,Korea,1792.0,2197.8,2603.6,3009.4,3415.2,3821.0,5060.8,6300.6,7540.4,8780.2,10020.0,10758.2,11496.4,12234.6,12972.8,13711.0,15057.6,16404.2,17750.8,19097.4,20444.0,21262.0,22080.0,22898.0,23716.0,24534.0,25441.0,26348.0,27255.0,28162.0,29069.0,Australia,103391.0
50,Kuwait,70.0,74.2,78.4,82.6,86.8,91.0,112.4,133.8,155.2,176.6,198.0,265.2,332.4,399.6,466.8,534.0,605.8,677.6,749.4,821.2,893.0,925.2,957.4,989.6,1021.8,1054.0,1089.6,1125.2,1160.8,1196.4,1232.0,Australia,4072.0
51,Laos,1212.0,1377.6,1543.2,1708.8,1874.4,2040.0,2262.0,2484.0,2706.0,2928.0,3150.0,3261.8,3373.6,3485.4,3597.2,3709.0,3664.8,3620.6,3576.4,3532.2,3488.0,3616.8,3745.6,3874.4,4003.2,4132.0,4275.2,4418.4,4561.6,4704.8,4848.0,Australia,22579.0
52,Latvia,8534.0,8373.2,8212.4,8051.6,7890.8,7730.0,6787.2,5844.4,4901.6,3958.8,3016.0,3381.4,3746.8,4112.2,4477.6,4843.0,4501.6,4160.2,3818.8,3477.4,3136.0,3262.4,3388.8,3515.2,3641.6,3768.0,3908.0,4048.0,4188.0,4328.0,4468.0,Australia,35495.0
53,Lebanon,8136.0,8753.8,9371.6,9989.4,10607.2,11225.0,12520.0,13815.0,15110.0,16405.0,17700.0,18282.2,18864.4,19446.6,20028.8,20611.0,20389.8,20168.6,19947.4,19726.2,19505.0,20216.2,20927.4,21638.6,22349.8,23061.0,23853.2,24645.4,25437.6,26229.8,27022.0,Australia,127260.0
54,Libya,0.0,0.0,0.0,0.0,0.0,0.0,72.8,145.6,218.39999999999998,291.2,364.0,374.6,385.2,395.8,406.4,417.0,423.2,429.4,435.6,441.8,448.0,463.6,479.2,494.8,510.4,526.0,543.2,560.4,577.6,594.8,612.0,Australia,2367.0
55,Lithuania,2856.0,2812.6,2769.2,2725.8,2682.4,2639.0,2441.8,2244.6,2047.4,1850.2,1653.0,1686.0,1719.0,1752.0,1785.0,1818.0,1722.4,1626.8,1531.2,1435.6,1340.0,1392.0,1444.0,1496.0,1548.0,1600.0,1658.0,1716.0,1774.0,1832.0,1890.0,Australia,13796.0
56,Macedonia,9968.0,10330.4,10692.8,11055.2,11417.6,11780.0,11752.6,11725.2,11697.8,11670.4,11643.0,13043.0,14443.0,15843.0,17243.0,18643.0,17431.0,16219.0,15007.0,13795.0,12583.0,13036.8,13490.6,13944.4,14398.2,14852.0,15357.8,15863.6,16369.4,16875.2,17381.0,Australia,96850.0
57,Malaysia,12226.0,13586.8,14947.6,16308.4,17669.2,19030.0,22297.2,25564.4,28831.6,32098.8,35366.0,36025.6,36685.2,37344.8,38004.4,38664.0,38655.2,38646.4,38637.6,38628.8,38620.0,40130.2,41640.4,43150.6,44660.8,46171.0,47847.6,49524.2,51200.8,52877.4,54554.0,Australia,244631.0
58,Malta,5347.0,5583.0,5819.0,6055.0,6291.0,6527.0,6608.0,6689.0,6770.0,6851.0,6932.0,6941.6,6951.2,6960.8,6970.4,6980.0,6890.0,6800.0,6710.0,6620.0,6530.0,6760.4,6990.8,7221.2,7451.6,7682.0,7939.0,8196.0,8453.0,8710.0,8967.0,Australia,48965.0
59,Mauritius,3905.0,4208.8,4512.6,4816.4,5120.2,5424.0,5969.2,6514.4,7059.6,7604.8,8150.0,8203.6,8257.2,8310.8,8364.4,8418.0,7957.0,7496.0,7035.0,6574.0,6113.0,6345.6,6578.2,6810.8,7043.4,7276.0,7534.6,7793.2,8051.8,8310.4,8569.0,Australia,47855.0
60,Mexico,174.0,192.4,210.8,229.2,247.6,266.0,285.2,304.4,323.6,342.8,362.0,372.6,383.2,393.8,404.4,415.0,469.4,523.8,578.2,632.6,687.0,714.6,742.2,769.8,797.4,825.0,855.2,885.4,915.6,945.8,976.0,Australia,3705.0
61,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,98.8,197.6,296.4,395.2,494.0,512.2,530.4,548.6,566.8,585.0,592.8,600.6,608.4,616.2,624.0,644.6,665.2,685.8,706.4,727.0,750.4,773.8,797.2,820.6,844.0,Australia,3274.0
62,Myanmar,3177.0,3271.0,3365.0,3459.0,3553.0,3647.0,3777.0,3907.0,4037.0,4167.0,4297.0,4515.4,4733.8,4952.2,5170.6,5389.0,5403.0,5417.0,5431.0,5445.0,5459.0,5668.6,5878.2,6087.8,6297.4,6507.0,6739.8,6972.6,7205.4,7438.2,7671.0,Australia,36147.0
63,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,21.6,43.2,64.80000000000001,86.4,108.0,182.4,256.8,331.20000000000005,405.6,480.0,610.0,740.0,870.0,1000.0,1130.0,1165.4,1200.8,1236.2,1271.6,1307.0,1346.8,1386.6,1426.4,1466.2,1506.0,Australia,4531.0
64,Netherlands,26105.0,26537.0,26969.0,27401.0,27833.0,28265.0,28649.8,29034.6,29419.4,29804.2,30189.0,30063.6,29938.2,29812.8,29687.4,29562.0,29701.4,29840.8,29980.2,30119.6,30259.0,31353.8,32448.6,33543.4,34638.2,35733.0,36953.0,38173.0,39393.0,40613.0,41833.0,Australia,221946.0
65,New Zealand,34448.0,37447.2,40446.4,43445.6,46444.8,49444.0,53808.0,58172.0,62536.0,66900.0,71264.0,74856.0,78448.0,82040.0,85632.0,89224.0,96358.4,103492.8,110627.2,117761.6,124896.0,129704.2,134512.4,139320.6,144128.8,148937.0,154279.0,159621.0,164963.0,170305.0,175647.0,Australia,693860.0
66,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,100.2,200.4,300.6,400.8,501.0,544.4,587.8,631.2,674.6,718.0,785.2,852.4,919.6,986.8,1054.0,1088.8,1123.6,1158.4,1193.2,1228.0,1267.2,1306.4,1345.6,1384.8,1424.0,Australia,4925.0
67,Norway,836.0,851.0,866.0,881.0,896.0,911.0,936.4,961.8,987.2,1012.6,1038.0,1043.6,1049.2,1054.8,1060.4,1066.0,1169.0,1272.0,1375.0,1478.0,1581.0,1640.8,1700.6,1760.4,1820.2,1880.0,1946.2,2012.4,2078.6,2144.8,2211.0,Australia,9523.0
68,Occupied Palestinian Territory,0.0,0.0,0.0,0.0,0.0,0.0,8.8,17.6,26.400000000000002,35.2,44.0,283.0,522.0,761.0,1000.0,1239.0,1248.2,1257.4,1266.6,1275.8,1285.0,1327.4,1369.8,1412.2,1454.6,1497.0,1544.4,1591.8,1639.2,1686.6,1734.0,Australia,5799.0
69,Pakistan,1073.0,1178.6,1284.2,1389.8,1495.4,1601.0,1763.2,1925.4,2087.6,2249.8,2412.0,2773.4,3134.8,3496.2,3857.6,4219.0,4600.8,4982.6,5364.4,5746.2,6128.0,6337.4,6546.8,6756.2,6965.6,7175.0,7409.0,7643.0,7877.0,8111.0,8345.0,Australia,30953.0
