"COUNTRY","Country","DLVLEDUC","Level of education","DPROGTYP","Programme orientation","DSRCTYP","Funding source","DTRNSTYP","Type of transactions","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,8938.059,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,8961.901,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,9216.14,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,9444.68,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2005","2005","EUR","Euro","6","Millions",,,10032.47,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2006","2006","EUR","Euro","6","Millions",,,10452.81,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2007","2007","EUR","Euro","6","Millions",,,10956.7,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2008","2008","EUR","Euro","6","Millions",,,11462.32,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2009","2009","EUR","Euro","6","Millions",,,12129.14,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2010","2010","EUR","Euro","6","Millions",,,12477.5,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,3776.844,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,3790.114,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,3900.831,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,3736.844,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,3757.644,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,3885.275,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,4921.25,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,4839.79,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2005","2005","EUR","Euro","6","Millions",,,4897.14,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2006","2006","EUR","Euro","6","Millions",,,5137.74,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2007","2007","EUR","Euro","6","Millions",,,5304.05,,
