,country,co2,expRD,expEd,expHealth,gdp,year
219,Chile,24554.232000000004,0.30956999999999996,2.51822186,7.03517628,34509878043.589745,1
220,China,1451501.2759999998,0.56324,0.98304564,4.47341394,195866382432.53967,1
221,Colombia,44458.708,0.29923,4.20017815,5.63529348,36388366869.03093,1
223,"Congo, Dem. Rep.",3777.01,0.26777,0.061828999999999995,1.45309758,12537821038.220222,1
225,Costa Rica,2251.538,0.30377,4.28046608,6.59314299,2623807074.294799,1
226,Cote d'Ivoire,4466.406,0.0956,0.8112600999999999,5.59964752,8432588483.852627,1
227,Croatia,16417.159,0.8404,6.54853821,7.70187807,22534323220.02657,1
228,Cuba,32749.977000000003,0.34736,5.50884342,6.58189821,20150254096.38554,1
229,Cyprus,3047.277,0.20331,2.18027353,5.30800056,2087496373.7796376,1
230,Czech Republic,138176.22699999998,0.89446,5.07170343,5.71755314,40728950704.61762,1
231,Denmark,51789.041,1.80667,6.73533964,8.10438347,61877813965.241325,1
235,Ecuador,16692.183999999997,0.07406,0.96102405,3.31528974,21810767209.369484,1
236,"Egypt, Arab Rep.",50978.634000000005,0.2126,1.73206902,4.92244291,22136081081.08108,1
237,El Salvador,1833.5,0.08818,3.94314814,8.92467785,3437200200.0,1
240,Estonia,23879.504,0.5707399999999999,3.92247367,5.15698433,4006983328.922996,1
241,Ethiopia,1866.503,0.17917,1.79956126,4.3650465,7324903188.405799,1
243,Finland,51510.349,2.4531099999999997,5.37109375,7.09253168,52448332874.069984,1
244,France,454700.666,2.2228,6.97070265,9.58447742,615552202776.1013,1
245,Gabon,6574.931,0.41633000000000003,1.06383801,2.90536857,3862269126.9268064,1
246,"Gambia, The",157.681,0.020390000000000002,0.58467138,6.63892317,218764445.78434327,1
247,Georgia,15335.393999999998,0.33089,0.84395164,7.39698839,7753501867.760945,1
248,Germany,929973.202,2.13911,7.73300314,9.888197900000002,800472055387.2782,1
249,Ghana,3047.277,0.23156999999999997,0.77592826,3.00223541,4222441614.974325,1
250,Greece,50721.944,0.4291,4.46380281,7.24332571,52346506765.06765,1
252,Guatemala,3967.6940000000004,0.035,2.01699448,5.69112062,8607500300.0,1
257,Honduras,1822.499,0.04453,3.02285886,6.26817942,4043894878.58005,1
258,Hungary,86618.207,0.63025,4.66643333,6.77804375,34753569692.91496,1
259,Iceland,1752.826,1.7954,7.21218348,8.95112514,3498247418.399269,1
260,India,338838.13399999996,0.63905,0.83442992,4.03493309,193490610032.0996,1
261,Indonesia,100160.43800000001,0.06769,0.54987711,1.90931416,85518233450.77403,1
262,"Iran, Islamic Rep.",112899.59599999999,0.5021800000000001,1.7855710999999999,4.73503828,100499312748.72406,1
263,Iraq,32122.92,0.04554,1.35636795,2.99196029,38424991534.03319,1
264,Ireland,26039.367000000002,1.27006,4.57751989,5.90528059,20694943592.34377,1
265,Israel,21213.595,2.59385,4.29216099,6.80195379,25668421052.631577,1
266,Italy,378020.029,0.9484299999999999,5.49627781,7.56665564,430702851303.0148,1
267,Jamaica,7414.674,0.0491,3.18738079,5.64462566,2979061412.372291,1
268,Japan,929606.502,2.6920599999999997,5.75151682,7.15091324,1218988935129.8066,1
269,Jordan,5863.533,0.33689,4.33405542,9.63493919,4384685230.024213,1
270,Kazakhstan,262043.82,0.29336999999999996,2.11957979,4.16031075,26932728898.81461,1
271,Kenya,6527.26,0.35520999999999997,1.32658839,4.63926125,6854491453.902078,1
273,"Korea, Rep.",139742.036,2.2608900000000003,1.96156311,3.89759398,72933350953.70247,1
274,Kuwait,25214.292,0.20539000000000002,1.90994716,2.51490784,25056672166.427547,1
275,Kyrgyz Republic,11133.011999999999,0.1939,2.13439822,4.41414976,2675000000.0,1
276,Lao PDR,150.347,0.0371,1.23305964,4.27513599,1757142805.7142856,1
277,Latvia,14143.618999999999,0.39723,2.76619649,5.45028639,5785775812.892184,1
279,Lesotho,1474.134,0.04185,2.94303799,5.85720491,434188034.18803424,1
281,Lithuania,22148.68,0.49155,4.16442347,6.191749099999999,7867140395.33705,1
282,Luxembourg,9427.857,1.57673,4.91304493,5.90136147,5231808996.088657,1
283,North Macedonia,11037.67,0.35911,4.71220732,8.86991501,4699646643.109541,1
284,Madagascar,1026.76,0.22032,2.1105423,5.23104906,4759333969.851406,1
286,Malaysia,30824.802000000003,0.21645,1.17325473,2.52807355,25004557093.876133,1
288,Mali,396.036,0.21855,1.28954971,5.466720099999999,1538972158.1782017,1
289,Malta,1144.104,0.2385,4.73784733,6.59914446,1243469360.5683837,1
291,Mauritania,663.727,0.014190000000000001,0.64611107,4.65043879,1105495368.3814619,1
292,Mauritius,542.716,0.27899,1.55006421,2.89581966,1142393554.523583,1
293,Mexico,284529.864,0.25067,2.01177883,4.44912481,263959336734.6939,1
295,Moldova,20868.897,0.8729600000000001,2.41749001,4.93830538,1752979926.41489,1
297,Mongolia,6644.604,0.16785999999999998,3.61939454,4.87263823,2310099100.0,1
298,Morocco,15856.108,0.27341,0.98038715,3.97807431,17788171722.44456,1
299,Mozambique,2489.893,0.42101000000000005,1.33954239,2.61787701,3633406064.8309507,1
300,Myanmar,5639.846,0.05985,0.22389039,1.70140898,8905066163.586428,1
301,Namibia,40.336999999999996,0.14165,4.85066414,9.79146862,2246757386.4629674,1
303,Nepal,454.708,0.05439,0.55427396,3.57357407,2275583316.6666665,1
304,Netherlands,164956.328,1.84093,5.320714,7.7069602,164134217080.27905,1
305,New Zealand,16527.168999999998,1.05649,5.56446981,7.470022200000001,24417617184.24777,1
306,Nicaragua,2141.528,0.0651,2.57731438,5.23883677,2448290109.65,1
308,Nigeria,65958.329,0.13223,0.58559412,3.1973834,164475209515.1901,1
309,Norway,40329.666,1.59352,6.29948092,7.71215487,63596654760.867676,1
310,Oman,6017.547,0.13645,2.50450325,3.06354713,7259120150.550088,1
311,Pakistan,34400.127,0.15565,1.01343811,2.88552141,28100606060.60606,1
313,Panama,3340.637,0.3101,4.672492500000001,6.9129467,5222421500.0,1
314,Papua New Guinea,1932.509,0.031580000000000004,1.66276824,1.97246671,2498068350.6686482,1
315,Paraguay,1389.793,0.06699,2.32489133,5.50297928,5624515873.015873,1
316,Peru,24103.191000000003,0.0836,2.31222916,4.6005969,21649137620.30547,1
317,Philippines,34664.151,0.13744,1.40068388,3.15481424,35646416952.5425,1
318,Poland,410062.275,0.64036,3.61403513,5.29816675,65977749036.984436,1
319,Portugal,27227.475,0.5495,5.90206194,8.37818336,31977276872.96417,1
320,Qatar,12860.169,0.4786,1.19545734,2.00865221,8661263763.736263,1
321,Romania,198153.67899999997,0.67472,3.33585477,4.20876122,38413636363.63636,1
