,country,co2,expRD,expEd,expHealth,gdp,year
139,South Africa,257368.395,0.58354,2.73613644,5.16433000564575,85454420504.10138,1981
140,Spain,207288.176,0.78949,4.91906023,3.12818002700806,202807891511.98416,1981
141,Sri Lanka,4033.7,0.18356,2.27740288,2.44220995903015,4415844155.844156,1981
142,St. Lucia,95.342,0.64171,1.8697567,5.53879022598267,194444444.44444442,1981
143,Eswatini,436.373,0.27013,2.41081047,6.58382987976074,571542674.5778184,1981
144,Sweden,69430.978,3.31489,6.18943739,6.78119993209839,129686938223.3282,1981
145,Switzerland,38859.199,2.44857,2.67802835,4.3221001625061,108993981264.63701,1981
146,Thailand,38048.792,0.11918,1.71152949,2.88314008712769,34846107862.367325,1981
147,Togo,627.057,0.23477,0.39248648,5.882080078125,962347000.9917879,1981
148,Tunisia,9834.894,0.54302,2.65892363,4.88935995101929,8428513568.246253,1981
149,United Kingdom,560819.979,1.58684,5.59644794,5.2884202003479,540765675241.1576,1981
150,Uruguay,5375.822,0.26501,4.15722036,2.212979912757877,11048335541.493334,1981
151,Zambia,3366.306,0.01104,3.18158054,4.00072002410889,3872666666.666667,1981
152,Argentina,103424.068,0.41749,4.63411379,1.59786999225616,84307486836.72401,1982
153,Armenia,5826.863,0.18692,0.95468217,1.84843003749847,..,1982
154,Australia,234119.615,1.6665,5.46949816,5.47975015640259,193770274743.46243,1982
155,Austria,53868.23,1.58077,6.82578659,5.36298990249634,71275287569.57329,1982
156,Azerbaijan,56240.779,0.23533,0.86689276,6.05797004699707,..,1982
157,Bangladesh,8599.115,,0.57436872,1.01163995265961,18525399201.596806,1982
158,Belgium,117553.019,1.72963,5.96185923,5.31673002243042,92095926187.53311,1982
159,Benin,491.378,,0.80706608,2.74788999557495,1267778489.0307946,1982
160,Brazil,172176.651,1.04751,3.47024679,4.56816005706787,281682304161.0405,1982
161,Bulgaria,90131.193,0.42201,3.4715004,3.714395999908448,19342000000,1982
162,Burundi,157.681,0.20068,1.46507251,3.3481566905975364,1013222222.2222222,1982
163,Cameroon,6343.91,,0.67430598,2.98497009277344,7322914570.15588,1982
164,Canada,414811.04,1.61209,6.02896738,6.51913976669312,313506525087.1362,1982
165,Chile,20615.874,0.30957,2.51822186,4.565798322359725,25325893205.657043,1982
166,Colombia,45914.507,0.29923,4.20017815,2.73292334874471,38968039721.74803,1982
167,Costa Rica,2086.523,0.30377,4.28046608,4.88506984710693,2606621255.0158124,1982
168,Cote d'Ivoire,6109.222,0.0956,0.8112601,6.846656481424969,7567109766.611292,1982
169,Cyprus,3102.282,0.20331,2.18027353,3.73178005218506,2159242416.76942,1982
170,Czech Republic,138176.227,0.89446,5.07170343,3.77507996559143,..,1982
171,Denmark,53695.881,1.80667,6.73533964,5.886703491210937,60412844678.604004,1982
172,Estonia,23879.504,0.57074,3.92247367,5.70691013336182,..,1982
173,Ethiopia,1481.468,0.17917,1.79956126,2.11234998703003,7707678019.323672,1982
174,Finland,43083.583,2.45311,5.37109375,4.77929019927979,52797582336.252625,1982
175,"Gambia, The",161.348,0.02039,0.58467138,4.29514980316162,216051495.95981658,1982
176,Ghana,3043.61,0.23157,0.77592826,1.90453994274139,4035994397.759104,1982
177,Guinea,982.756,,0.30125162,2.01639008522034,..,1982
178,Guyana,1404.461,,2.38048863,8.2534704208374,482000000,1982
179,"Hong Kong SAR, China",19702.791,0.4283,,1.66982996463776,32291306281.816837,1982
180,Hungary,86871.23,0.63025,4.66643333,5.87939977645874,..,1982
181,Iceland,1598.812,1.7954,7.21218348,4.25224018096924,3211446625.9158807,1982
182,"Iran, Islamic Rep.",138007.545,0.50218,1.7855711,5.80205011367798,125948756439.66751,1982
183,Ireland,25547.989,1.27006,4.57751989,5.38308000564575,21500471719.204113,1982
184,Israel,24081.189,2.59385,4.29216099,6.66350984573364,27934609053.497944,1982
185,Italy,369681.271,0.94843,5.49627781,4.48805999755859,427272645669.2913,1982
186,Jamaica,6219.232,0.0491,3.18738079,5.39190006256104,3293533288.4248343,1982
187,Japan,900200.829,2.69206,5.75151682,5.04606008529663,1134518001884.56,1982
188,Kenya,4693.76,0.35521,1.32658839,5.67812013626099,6431579357.312563,1982
189,Kyrgyz Republic,11133.012,0.1939,2.13439822,5.58819007873535,..,1982
190,Latvia,14143.619,0.39723,2.76619649,5.27811002731323,..,1982
191,Lesotho,1474.134,0.04185,2.94303799,10.0969400405884,348746822.61926687,1982
192,Lithuania,22148.68,0.49155,4.16442347,4.76492023468018,..,1982
193,"Macao SAR, China",484.044,0.06268,,3.37756991386414,1130457130.0073886,1982
194,Madagascar,1015.759,0.22032,2.1105423,2.32178997993469,4784977348.970423,1982
195,Malaysia,30571.779,0.21645,1.17325473,7.03278017044067,26804401815.534813,1982
196,Mali,366.7,0.21855,1.28954971,3.27885007858276,1333754034.2348886,1982
197,Malta,1312.786,0.2385,4.73784733,2.85407996177673,1234518125,1982
198,Mauritius,502.379,0.27899,1.55006421,4.60377979278564,1078408829.6160035,1982
199,Mexico,304837.71,0.25067,2.01177883,2.28201007843018,184609157801.41846,1982
200,Nepal,443.707,0.05439,0.55427396,2.89287996292114,2395429852.4307566,1982
201,Netherlands,134322.21,1.84093,5.320714,5.6950101852417,158479527935.95773,1982
202,New Zealand,18239.658,1.05649,5.56446981,4.5327000617981,24164603058.994904,1982
203,Niger,748.068,,1.53187096,2.06030011177063,2017611927.403705,1982
204,Norway,41052.065,1.59352,6.29948092,5.6788501739502,62647195537.65107,1982
205,Oman,5735.188,0.13645,2.50450325,3.79282999038696,7554719455.703532,1982
206,Pakistan,37385.065,0.15565,1.01343811,2.01366996765137,30725971563.98104,1982
207,Panama,3292.966,0.3101,4.6724925,3.41850996017456,5769767900,1982
208,Peru,23670.485,0.0836,2.31222916,3.11879992485046,21793496819.337875,1982
209,Poland,422211.046,0.64036,3.61403513,3.89144992828369,..,1982
210,Portugal,29255.326,0.5495,5.90206194,3.32909989356995,30527754793.138245,1982
211,Saudi Arabia,158091.704,0.06233,3.03455424,4.14254999160767,153238991868.8755,1982
212,Senegal,3054.611,0.2909,1.26322365,2.52794003486633,3936758681.583433,1982
213,Slovak Republic,44183.683,0.89292,4.68998718,5.35694980621338,..,1982
214,Slovenia,12478.801,1.26633,5.57140017,4.43858003616333,..,1982
215,South Africa,280749.187,0.58354,2.73613644,5.16433000564575,78423059791.08429,1982
216,Spain,209906.414,0.78949,4.91906023,3.12818002700806,195996754505.5278,1982
217,Sri Lanka,4499.409,0.18356,2.27740288,2.55850005149841,4768765016.818837,1982
218,St. Lucia,113.677,0.64171,1.8697567,5.53879022598267,183333333.3333333,1982
219,Eswatini,436.373,0.27013,2.41081047,6.75364017486572,537575980.8436176,1982
220,Sweden,62291.329,3.31489,6.18943739,6.606865512000191,114380557730.87575,1982
221,Switzerland,36629.663,2.44857,2.67802835,4.39031982421875,111711489927.59691,1982
222,Thailand,37909.446,0.11918,1.71152949,3.27388000488281,36589797857.40062,1982
223,Togo,733.4,0.23477,0.39248648,5.719246705373127,821651918.724626,1982
224,Tunisia,9526.866,0.54302,2.65892363,5.28604984283447,8133401049.602167,1982
225,United Kingdom,548520.861,1.58684,5.59644794,5.1887001991272,515048916841.3696,1982
226,Uruguay,4873.443,0.26501,4.15722036,2.266449928283695,9178802162.661604,1982
227,Zambia,3520.32,0.01104,3.18158054,5.15487003326416,3994777777.7777777,1982
228,Argentina,105213.564,0.41749,4.63411379,1.61749994754791,103979106777.91101,1983
229,Armenia,5826.863,0.18692,0.95468217,1.84843003749847,..,1983
230,Australia,225003.453,1.6665,5.46949816,5.37201023101807,177030416471.68927,1983
231,Austria,51983.392,1.58077,6.82578659,5.30378007888794,72121016546.65237,1983
232,Azerbaijan,56240.779,0.23533,0.86689276,6.05797004699707,..,1983
233,Bangladesh,8236.082,,0.57436872,1.03267002105713,17609048821.54882,1983
